WORD, COUNT, RELATIVE_FREQUENCY
the, 443, 0.0519
i, 258, 0.0302
and, 254, 0.0298
to, 245, 0.0287
of, 236, 0.0277
a, 224, 0.0262
in, 156, 0.0183
it, 154, 0.018
you, 129, 0.0151
was, 124, 0.0145
he, 109, 0.0128
his, 105, 0.0123
that, 104, 0.0122
is, 86, 0.0101
my, 78, 0.0091
she, 71, 0.0083
with, 68, 0.008
have, 62, 0.0073
at, 62, 0.0073
had, 61, 0.0071
not, 60, 0.007
as, 60, 0.007
be, 57, 0.0067
which, 55, 0.0064
but, 53, 0.0062
her, 48, 0.0056
holmes, 47, 0.0055
me, 46, 0.0054
for, 46, 0.0054
from, 45, 0.0053
your, 38, 0.0045
then, 35, 0.0041
we, 35, 0.0041
will, 34, 0.004
said, 33, 0.0039
this, 33, 0.0039
there, 32, 0.0037
an, 32, 0.0037
up, 32, 0.0037
what, 31, 0.0036
when, 31, 0.0036
into, 30, 0.0035
by, 30, 0.0035
who, 30, 0.0035
been, 29, 0.0034
on, 29, 0.0034
do, 29, 0.0034
all, 28, 0.0033
one, 27, 0.0032
out, 27, 0.0032
were, 26, 0.003
if, 25, 0.0029
are, 25, 0.0029
could, 25, 0.0029
upon, 25, 0.0029
so, 24, 0.0028
him, 24, 0.0028
am, 23, 0.0027
down, 22, 0.0026
man, 22, 0.0026
very, 22, 0.0026
how, 21, 0.0025
has, 21, 0.0025
may, 21, 0.0025
or, 21, 0.0025
photograph, 21, 0.0025
would, 20, 0.0023
street, 18, 0.0021
know, 18, 0.0021
own, 18, 0.0021
must, 17, 0.002
now, 17, 0.002
king, 17, 0.002
they, 16, 0.0019
no, 16, 0.0019
more, 16, 0.0019
majesty, 16, 0.0019
see, 15, 0.0018
before, 14, 0.0016
little, 14, 0.0016
house, 14, 0.0016
should, 14, 0.0016
hand, 13, 0.0015
just, 13, 0.0015
irene, 13, 0.0015
adler, 13, 0.0015
door, 13, 0.0015
some, 13, 0.0015
minutes, 13, 0.0015
yet, 12, 0.0014
woman, 12, 0.0014
fire, 12, 0.0014
